[12:01:36.222][INFO] Logger initialized. Log file: archi.log
[12:01:36.226][INFO] Application init...
[12:01:36.378][INFO] OpenGL 3.3
[12:01:36.397][INFO] Entering state: Loading
[12:01:36.397][INFO] Loading resources (fake)...
[12:01:36.397][INFO] Application init done
[12:01:36.397][INFO] Application run...
[12:01:38.618][TRACE] dt=0.0055633
[12:01:38.624][TRACE] dt=0.0054979
[12:01:38.629][TRACE] dt=0.0055412
[12:01:38.635][TRACE] dt=0.0055933
[12:01:38.640][TRACE] dt=0.0055584
[12:01:38.646][TRACE] dt=0.0055613
[12:01:38.652][TRACE] dt=0.0055343
[12:01:38.657][TRACE] dt=0.0055725
[12:01:38.663][TRACE] dt=0.0055497
[12:01:38.668][TRACE] dt=0.005555
[12:01:38.674][TRACE] dt=0.0055503
[12:01:38.679][TRACE] dt=0.0055704
[12:01:38.685][TRACE] dt=0.0055555
[12:01:38.691][TRACE] dt=0.0055564
[12:01:38.696][TRACE] dt=0.0055593
[12:01:38.702][TRACE] dt=0.0055536
[12:01:38.707][TRACE] dt=0.0055411
[12:01:38.713][TRACE] dt=0.0055768
[12:01:38.718][TRACE] dt=0.005545
[12:01:38.724][TRACE] dt=0.0055135
[12:01:38.729][TRACE] dt=0.0055987
[12:01:38.735][TRACE] dt=0.0055329
[12:01:38.741][TRACE] dt=0.0057139
[12:01:38.746][TRACE] dt=0.0054209
[12:01:38.752][TRACE] dt=0.0055643
[12:01:38.757][TRACE] dt=0.0055475
[12:01:38.763][TRACE] dt=0.0055193
[12:01:38.768][TRACE] dt=0.0055817
[12:01:38.774][TRACE] dt=0.0056602
[12:01:38.779][TRACE] dt=0.0054719
[12:01:38.785][TRACE] dt=0.0055331
[12:01:38.791][TRACE] dt=0.0055668
[12:01:38.796][TRACE] dt=0.0055569
[12:01:38.802][TRACE] dt=0.0055658
[12:01:38.807][TRACE] dt=0.0055347
[12:01:38.813][TRACE] dt=0.0055532
[12:01:38.818][TRACE] dt=0.0055436
[12:01:38.824][TRACE] dt=0.0056088
[12:01:38.829][TRACE] dt=0.005537
[12:01:38.835][TRACE] dt=0.0055373
[12:01:38.841][TRACE] dt=0.0055835
[12:01:38.846][TRACE] dt=0.0055369
[12:01:38.852][TRACE] dt=0.0057301
[12:01:38.857][TRACE] dt=0.0053679
[12:01:38.863][TRACE] dt=0.0055657
[12:01:38.868][TRACE] dt=0.0055439
[12:01:38.874][TRACE] dt=0.0055501
